# This file was produced by: bcftools roh(1.15.1+htslib-1.15.1)
# The command line was:	bcftools roh -G30 --estimate-AF - --rec-rate 1e-9 --skip-indels -O r -o /projects/mjolnir1/people/qvw641/CottonTop/ROHs///BcfToolsRoh_alt04recomb_1e-9_final_AF.txt /projects/mjolnir1/people/qvw641/CottonTop/VCF/Filter/CTT_onlyCTT_filter.vcf.gz
#
# RG	[2]Sample	[3]Chromosome	[4]Start	[5]End	[6]Length (bp)	[7]Number of markers	[8]Quality (average fwd-bwd phred score)
RG	05_FMNH_69936	CM038391.1	197573159	198001801	428643	552	84.4
RG	05_FMNH_69936	CM038391.1	198079760	199054367	974608	1250	84.9
RG	05_FMNH_69936	CM038391.1	199703170	200021569	318400	278	53.5
RG	05_FMNH_69936	CM038391.1	200494745	202319076	1824332	2268	90.5
RG	05_FMNH_69936	CM038391.1	202608632	202894613	285982	530	77.2
RG	05_FMNH_69936	CM038391.1	203064343	204468373	1404031	2648	94.7
RG	05_FMNH_69936	CM038391.1	205814248	206395989	581742	966	85.2
RG	05_FMNH_69936	CM038391.1	209917023	210423574	506552	895	75.3
RG	05_FMNH_69936	CM038391.1	210497518	210758412	260895	439	45.3
RG	05_FMNH_69936	CM038391.1	211090940	211683921	592982	875	8.6
RG	05_FMNH_69936	CM038391.1	211853432	211953181	99750	160	67.1
RG	05_FMNH_69936	CM038391.1	212478747	212769403	290657	428	77.5
RG	05_FMNH_69936	CM038391.1	212928446	213783077	854632	1370	84.4
RG	05_FMNH_69936	CM038391.1	214048620	214309954	261335	522	92.0
RG	05_FMNH_69936	CM038391.1	214947389	215493028	545640	950	39.8
RG	05_FMNH_69936	CM038391.1	215590466	215986135	395670	690	83.9
RG	05_FMNH_69936	CM038391.1	216130236	216275367	145132	316	35.8
RG	05_FMNH_69936	CM038391.1	216945176	217873568	928393	1978	96.9
RG	05_FMNH_69936	CM038391.1	218242181	218350807	108627	184	77.3
RG	05_FMNH_69936	CM038391.1	218599489	219018463	418975	599	55.3
RG	07_FMNH_69941	CM038391.1	93910	20386700	20292791	16028	94.4
RG	07_FMNH_69941	CM038391.1	20586244	27020815	6434572	4049	91.8
RG	07_FMNH_69941	CM038391.1	27182025	28434607	1252583	875	82.8
RG	07_FMNH_69941	CM038391.1	28768194	31136688	2368495	1815	90.7
RG	07_FMNH_69941	CM038391.1	31174438	33285080	2110643	1525	89.8
RG	07_FMNH_69941	CM038391.1	33294763	46976387	13681625	12881	98.1
RG	07_FMNH_69941	CM038391.1	47079797	50180789	3100993	2887	93.9
RG	07_FMNH_69941	CM038391.1	50548364	59776118	9227755	8141	93.9
RG	07_FMNH_69941	CM038391.1	60027606	62320778	2293173	1420	76.6
RG	07_FMNH_69941	CM038391.1	62510020	86946245	24436226	17429	91.6
RG	07_FMNH_69941	CM038391.1	87091716	91226702	4134987	3104	96.1
RG	07_FMNH_69941	CM038391.1	91253976	99003935	7749960	6299	95.0
RG	07_FMNH_69941	CM038391.1	99037092	101160026	2122935	1690	70.5
RG	07_FMNH_69941	CM038391.1	101219503	108067189	6847687	4098	95.7
RG	07_FMNH_69941	CM038391.1	108358037	110262349	1904313	1385	82.1
RG	07_FMNH_69941	CM038391.1	110360190	110948853	588664	423	81.1
RG	07_FMNH_69941	CM038391.1	111029581	112786200	1756620	1417	90.5
RG	07_FMNH_69941	CM038391.1	112826200	117341145	4514946	3831	94.6
RG	07_FMNH_69941	CM038391.1	117404979	133204193	15799215	12109	95.3
RG	07_FMNH_69941	CM038391.1	133776231	134823574	1047344	558	52.2
RG	07_FMNH_69941	CM038391.1	135050442	139533118	4482677	3606	89.6
RG	07_FMNH_69941	CM038391.1	141544722	143195875	1651154	1071	85.7
RG	07_FMNH_69941	CM038391.1	145278205	155626786	10348582	8518	97.3
RG	07_FMNH_69941	CM038391.1	155951307	158085038	2133732	1902	92.0
RG	07_FMNH_69941	CM038391.1	158283979	160489722	2205744	1346	86.1
RG	07_FMNH_69941	CM038391.1	160614796	166977289	6362494	5527	97.2
RG	07_FMNH_69941	CM038391.1	168332366	169130950	798585	494	76.6
RG	07_FMNH_69941	CM038391.1	169567931	171737762	2169832	1602	86.6
RG	07_FMNH_69941	CM038391.1	172085944	173961070	1875127	1253	42.1
RG	07_FMNH_69941	CM038391.1	173988160	176221669	2233510	1831	90.2
RG	07_FMNH_69941	CM038391.1	178034984	185217606	7182623	5058	84.1
RG	07_FMNH_69941	CM038391.1	185547686	188046151	2498466	2244	87.0
RG	07_FMNH_69941	CM038391.1	188281156	191502338	3221183	1732	71.8
RG	07_FMNH_69941	CM038391.1	191550888	192195591	644704	366	49.4
RG	07_FMNH_69941	CM038391.1	193737968	197260222	3522255	2830	82.0
RG	07_FMNH_69941	CM038391.1	200175026	202217737	2042712	1052	61.7
RG	07_FMNH_69941	CM038391.1	203364303	203626003	261701	263	22.5
RG	07_FMNH_69941	CM038391.1	204582239	205331682	749444	434	69.8
RG	07_FMNH_69941	CM038391.1	205412187	205474605	62419	50	41.1
RG	07_FMNH_69941	CM038391.1	205601125	206379764	778640	612	76.5
RG	07_FMNH_69941	CM038391.1	207167631	207890201	722571	390	23.5
RG	07_FMNH_69941	CM038391.1	209917286	211019394	1102109	818	44.9
RG	07_FMNH_69941	CM038391.1	213043790	213826930	783141	536	63.5
RG	07_FMNH_69941	CM038391.1	214637329	216406172	1768844	1381	79.8
RG	07_FMNH_69941	CM038391.1	216460012	219319476	2859465	2000	65.7
RG	07_FMNH_69941	CM038391.1	220332126	222285018	1952893	1714	89.7
RG	09_FMNH_69944	CM038391.1	297043	533792	236750	359	76.7
RG	09_FMNH_69944	CM038391.1	1221122	2228787	1007666	1102	79.9
RG	09_FMNH_69944	CM038391.1	2517134	2601827	84694	163	84.0
RG	09_FMNH_69944	CM038391.1	3047069	4078701	1031633	1369	90.3
RG	09_FMNH_69944	CM038391.1	4576431	5005856	429426	710	75.8
RG	09_FMNH_69944	CM038391.1	5592573	6239708	647136	725	74.0
RG	09_FMNH_69944	CM038391.1	8107795	9738858	1631064	2225	88.5
RG	09_FMNH_69944	CM038391.1	10614555	10992764	378210	495	32.9
RG	09_FMNH_69944	CM038391.1	11212388	12231648	1019261	1422	74.2
RG	09_FMNH_69944	CM038391.1	13312244	13957127	644884	1248	87.8
RG	09_FMNH_69944	CM038391.1	14041177	15191798	1150622	1546	81.1
RG	09_FMNH_69944	CM038391.1	15955767	16663840	708074	743	44.4
